class,linguistic pattern,predicate
http://dbpedia.org/ontology/Skier,einzigen,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,spanische,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,gleichen,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,britischer,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,goldene,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,britische,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,Deutsche,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,verschiedenen,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,neuseeländische,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,schweren,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,spanischer,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,slowenische,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,erfolgreiche,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,erweiterten,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,norwegischen,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,schwere,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,folgenden,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,früheren,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,olympischen,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,1980er-Jahren,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,US-amerikanischen,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,gelegentlich,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,verschiedenen,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,US-amerikanischen,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,erweiterten,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,gelegentlich,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,verschiedenen,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,olympischen,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,norwegischen,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,schwere,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,folgenden,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,österreichischen,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,selben,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,erweiterten,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,schwere,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,Deutschen,http://dbpedia.org/ontology/deathPlace
http://dbpedia.org/ontology/Skier,kroatischer,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,sportlichen,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,kroatische,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,ausgezeichnet,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,jüngste,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,vereinzelt,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,goldene,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,einziger,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,aktiven,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,französischen,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,deutschen,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,Russische,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,konzentrierte,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,bulgarisch,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,sechsfache,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,einziger,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,vereinzelt,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,goldene,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,jüngste,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,liechtensteinische,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,kroatische,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,tschechischer,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,selben,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,russischer,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,sechsfache,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,aktive,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,konzentrierte,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,polnische,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,Russische,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,frühen,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,geborene,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,späten,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,erfolgreicher,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,spanischer,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,kanadischen,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,einzige,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,aktive,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,erfolgreicher,http://dbpedia.org/ontology/country
