LemonEntry,partOfSpeech,writtenFormInfinitive,writtenFormThridPerson,writtenFormPast,writtenFormPerfect,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range
gewinnen,verb,gewinnen,gewinnt,gewann,gewonnen,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person
fallen,verb,fallen,fällt,fiel,gefallen,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person
verlieren,verb,verlieren,verliert,verlor,verloren,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person
schlagen,verb,schlagen,schlägt,schlug,geschlagen,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person
fallen,verb,fallen,fällt,fiel,gefallen,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person
verlieren,verb,verlieren,verliert,verlor,verloren,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person
fahren,verb,fahren,fährt,fuhr,gefahren,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person
gewinnen,verb,gewinnen,gewinnt,gewann,gewonnen,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person
tanzen,verb,tanzen,tanzt,tanzte,getanzt,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person
fahren,verb,fahren,fährt,fuhr,gefahren,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person
gewinnen,verb,gewinnen,gewinnt,gewann,gewonnen,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person
